Dataset,Method,Mean effect,SD effect,CV,Mean |SMD| after
Lalonde,Doubly robust,1709.5034874052283,0.0,0.0,0.09751886548992271
Lalonde,IPW,1463.9472999310256,0.0,0.0,0.0958671379088994
Lalonde,Propensity matching,1429.146070833333,0.0,0.0,0.060820366670448454
Lalonde,Regression adjustment,1480.6609612042494,0.0,0.0,0.4096847001268865
NHEFS,Doubly robust,3.293647427944588,0.0,0.0,0.012853630864701768
NHEFS,IPW,3.2634978711907743,0.0,0.0,0.012853630864701801
NHEFS,Propensity matching,3.2117884332647817,0.0,0.0,0.029879113398767032
NHEFS,Regression adjustment,3.3341674140824518,0.0,0.0,0.1521322101281169
Synthetic,Doubly robust,1.935454085559077,0.0,0.0,0.015746443799608996
Synthetic,IPW,1.927137190707402,0.0,0.0,0.01574644379960979
Synthetic,Propensity matching,1.7069487424995728,0.0,0.0,0.05052043831836204
Synthetic,Regression adjustment,1.9846249321644263,0.0,0.0,0.41015709453385724
