dataset,seed,bootstrap_repeats,caliper,method,effect,ci_low,ci_high,ci_width,balance_after
lalonde,42,20,0.03,RegressionAdjustmentEstimator,1548.2438020003797,804.0844168323704,2816.6734228586993,2012.589006026329,0.5085763727684149
lalonde,42,20,0.03,IPWEstimator,232.42121949850025,-981.2645172946402,2781.8824037097065,3763.146921004347,0.14935561296631406
lalonde,42,20,0.03,DoublyRobustEstimator,798.718243476316,-616.7691365125402,2835.4675409499832,3452.2366774625234,0.15822617744353895
lalonde,42,20,0.03,PropensityMatcher,1052.1097784403669,-261.9805577182104,2950.2232980446665,3212.203855762877,0.0643519114997541
lalonde,42,20,0.05,RegressionAdjustmentEstimator,1548.2438020003797,804.0844168323704,2816.6734228586993,2012.589006026329,0.5085763727684149
lalonde,42,20,0.05,IPWEstimator,232.42121949850025,-981.2645172946402,2781.8824037097065,3763.146921004347,0.14935561296631406
lalonde,42,20,0.05,DoublyRobustEstimator,798.718243476316,-616.7691365125402,2835.4675409499832,3452.2366774625234,0.15822617744353895
lalonde,42,20,0.05,PropensityMatcher,1540.0712793577982,-279.35200894221964,2490.5729756434516,2769.924984585671,0.07344052274257647
lalonde,42,20,0.1,RegressionAdjustmentEstimator,1548.2438020003797,804.0844168323704,2816.6734228586993,2012.589006026329,0.5085763727684149
lalonde,42,20,0.1,IPWEstimator,232.42121949850025,-981.2645172946402,2781.8824037097065,3763.146921004347,0.14935561296631406
lalonde,42,20,0.1,DoublyRobustEstimator,798.718243476316,-616.7691365125402,2835.4675409499832,3452.2366774625234,0.15822617744353895
lalonde,42,20,0.1,PropensityMatcher,1175.4190555045873,173.0712332444553,2701.7405970104633,2528.669363766008,0.084651858788
nhefs,42,20,0.01,RegressionAdjustmentEstimator,3.3341674140824518,2.2393722320170943,3.9295822307617794,1.690209998744685,0.1521322101281169
nhefs,42,20,0.01,IPWEstimator,3.2634978711907743,2.1075065164087547,4.012893977499098,1.905387461090343,0.012853630864701801
nhefs,42,20,0.01,DoublyRobustEstimator,3.293647427944588,2.1395753349188826,4.040344599824692,1.9007692649058097,0.012853630864701768
nhefs,42,20,0.01,PropensityMatcher,3.103357800694088,2.3236340867007046,4.272902205609937,1.9492681189092327,0.029097592224732145
nhefs,42,20,0.02,RegressionAdjustmentEstimator,3.3341674140824518,2.2393722320170943,3.9295822307617794,1.690209998744685,0.1521322101281169
nhefs,42,20,0.02,IPWEstimator,3.2634978711907743,2.1075065164087547,4.012893977499098,1.905387461090343,0.012853630864701801
nhefs,42,20,0.02,DoublyRobustEstimator,3.293647427944588,2.1395753349188826,4.040344599824692,1.9007692649058097,0.012853630864701768
nhefs,42,20,0.02,PropensityMatcher,3.2117884332647817,2.367152375833192,4.260865857236429,1.8937134814032373,0.029879113398767032
nhefs,42,20,0.05,RegressionAdjustmentEstimator,3.3341674140824518,2.2393722320170943,3.9295822307617794,1.690209998744685,0.1521322101281169
nhefs,42,20,0.05,IPWEstimator,3.2634978711907743,2.1075065164087547,4.012893977499098,1.905387461090343,0.012853630864701801
nhefs,42,20,0.05,DoublyRobustEstimator,3.293647427944588,2.1395753349188826,4.040344599824692,1.9007692649058097,0.012853630864701768
nhefs,42,20,0.05,PropensityMatcher,3.179420589179487,2.421444826607986,4.238980971654398,1.8175361450464114,0.03034650732298481
synthetic,42,20,0.02,RegressionAdjustmentEstimator,1.9846249321644263,1.8106208186309347,2.252049054738436,0.44142823610750126,0.4101570945338573
synthetic,42,20,0.02,IPWEstimator,1.927137190707402,1.6693201986938224,2.124776098223165,0.4554558995293425,0.01574644379960979
synthetic,42,20,0.02,DoublyRobustEstimator,1.9354540855590772,1.7664989675210403,2.1591691630990386,0.3926701955779983,0.015746443799608996
synthetic,42,20,0.02,PropensityMatcher,1.7069487424995728,1.3834550221556374,2.2730039775353896,0.8895489553797522,0.05052043831836204
lalonde,42,40,0.03,RegressionAdjustmentEstimator,1548.2438020003797,732.9149785206106,2793.9567718025905,2061.04179328198,0.5085763727684149
lalonde,42,40,0.03,IPWEstimator,232.42121949850025,-1049.024756839392,2113.544459744995,3162.569216584387,0.14935561296631406
lalonde,42,40,0.03,DoublyRobustEstimator,798.718243476316,-1216.284453206035,2767.670044098302,3983.9544973043367,0.15822617744353895
lalonde,42,40,0.03,PropensityMatcher,1052.1097784403669,-253.1764091624804,2927.0657973693174,3180.242206531798,0.0643519114997541
lalonde,42,40,0.05,RegressionAdjustmentEstimator,1548.2438020003797,732.9149785206106,2793.9567718025905,2061.04179328198,0.5085763727684149
lalonde,42,40,0.05,IPWEstimator,232.42121949850025,-1049.024756839392,2113.544459744995,3162.569216584387,0.14935561296631406
lalonde,42,40,0.05,DoublyRobustEstimator,798.718243476316,-1216.284453206035,2767.670044098302,3983.9544973043367,0.15822617744353895
lalonde,42,40,0.05,PropensityMatcher,1540.0712793577982,-431.50825389908675,2513.3027385005125,2944.8109923995994,0.07344052274257647
lalonde,42,40,0.1,RegressionAdjustmentEstimator,1548.2438020003797,732.9149785206106,2793.9567718025905,2061.04179328198,0.5085763727684149
lalonde,42,40,0.1,IPWEstimator,232.42121949850025,-1049.024756839392,2113.544459744995,3162.569216584387,0.14935561296631406
lalonde,42,40,0.1,DoublyRobustEstimator,798.718243476316,-1216.284453206035,2767.670044098302,3983.9544973043367,0.15822617744353895
lalonde,42,40,0.1,PropensityMatcher,1175.4190555045873,219.82461327631688,2837.655120738207,2617.83050746189,0.084651858788
nhefs,42,40,0.01,RegressionAdjustmentEstimator,3.3341674140824518,2.4105180384704723,4.039789998781917,1.6292719603114443,0.1521322101281169
nhefs,42,40,0.01,IPWEstimator,3.2634978711907743,2.2675299803982543,4.030953194400356,1.7634232140021013,0.012853630864701801
nhefs,42,40,0.01,DoublyRobustEstimator,3.293647427944588,2.272829509323789,4.063876824081177,1.791047314757388,0.012853630864701768
nhefs,42,40,0.01,PropensityMatcher,3.103357800694088,2.3145442155886404,4.504278140963484,2.1897339253748433,0.029097592224732145
nhefs,42,40,0.02,RegressionAdjustmentEstimator,3.3341674140824518,2.4105180384704723,4.039789998781917,1.6292719603114443,0.1521322101281169
nhefs,42,40,0.02,IPWEstimator,3.2634978711907743,2.2675299803982543,4.030953194400356,1.7634232140021013,0.012853630864701801
nhefs,42,40,0.02,DoublyRobustEstimator,3.293647427944588,2.272829509323789,4.063876824081177,1.791047314757388,0.012853630864701768
nhefs,42,40,0.02,PropensityMatcher,3.2117884332647817,2.3742285805536807,4.4845266844878005,2.1102981039341198,0.029879113398767032
nhefs,42,40,0.05,RegressionAdjustmentEstimator,3.3341674140824518,2.4105180384704723,4.039789998781917,1.6292719603114443,0.1521322101281169
nhefs,42,40,0.05,IPWEstimator,3.2634978711907743,2.2675299803982543,4.030953194400356,1.7634232140021013,0.012853630864701801
nhefs,42,40,0.05,DoublyRobustEstimator,3.293647427944588,2.272829509323789,4.063876824081177,1.791047314757388,0.012853630864701768
nhefs,42,40,0.05,PropensityMatcher,3.179420589179487,2.4070861062286233,4.4392061707562505,2.032120064527627,0.03034650732298481
synthetic,42,40,0.02,RegressionAdjustmentEstimator,1.9846249321644263,1.8129097420209617,2.2165737503903644,0.40366400836940275,0.4101570945338573
synthetic,42,40,0.02,IPWEstimator,1.927137190707402,1.6280229341562469,2.2419127951190134,0.6138898609627665,0.01574644379960979
synthetic,42,40,0.02,DoublyRobustEstimator,1.9354540855590772,1.749281772940109,2.167159281205868,0.4178775082657593,0.015746443799608996
synthetic,42,40,0.02,PropensityMatcher,1.7069487424995728,1.4216908352856885,2.403379309908603,0.9816884746229144,0.05052043831836204
lalonde,42,80,0.03,RegressionAdjustmentEstimator,1548.2438020003797,595.2727832204081,2994.5866080123164,2399.3138247919082,0.5085763727684149
lalonde,42,80,0.03,IPWEstimator,232.42121949850025,-1109.270054855065,2081.846318915517,3191.116373770582,0.14935561296631406
lalonde,42,80,0.03,DoublyRobustEstimator,798.718243476316,-1281.6628564132868,3175.0205989321744,4456.683455345461,0.15822617744353895
lalonde,42,80,0.03,PropensityMatcher,1052.1097784403669,-270.39669115655346,3052.3311418434055,3322.727832999959,0.0643519114997541
lalonde,42,80,0.05,RegressionAdjustmentEstimator,1548.2438020003797,595.2727832204081,2994.5866080123164,2399.3138247919082,0.5085763727684149
lalonde,42,80,0.05,IPWEstimator,232.42121949850025,-1109.270054855065,2081.846318915517,3191.116373770582,0.14935561296631406
lalonde,42,80,0.05,DoublyRobustEstimator,798.718243476316,-1281.6628564132868,3175.0205989321744,4456.683455345461,0.15822617744353895
lalonde,42,80,0.05,PropensityMatcher,1540.0712793577982,-428.1909903184891,3311.2871571643304,3739.4781474828196,0.07344052274257647
lalonde,42,80,0.1,RegressionAdjustmentEstimator,1548.2438020003797,595.2727832204081,2994.5866080123164,2399.3138247919082,0.5085763727684149
lalonde,42,80,0.1,IPWEstimator,232.42121949850025,-1109.270054855065,2081.846318915517,3191.116373770582,0.14935561296631406
lalonde,42,80,0.1,DoublyRobustEstimator,798.718243476316,-1281.6628564132868,3175.0205989321744,4456.683455345461,0.15822617744353895
lalonde,42,80,0.1,PropensityMatcher,1175.4190555045873,132.21505529863407,3361.3171537846056,3229.1020984859715,0.084651858788
nhefs,42,80,0.01,RegressionAdjustmentEstimator,3.3341674140824518,2.4179561257013953,4.039789998781917,1.6218338730805213,0.1521322101281169
nhefs,42,80,0.01,IPWEstimator,3.2634978711907743,2.291231921044224,4.064400677075504,1.7731687560312803,0.012853630864701801
nhefs,42,80,0.01,DoublyRobustEstimator,3.293647427944588,2.3591809064951508,4.222624843995426,1.8634439375002754,0.012853630864701768
nhefs,42,80,0.01,PropensityMatcher,3.103357800694088,2.276295291171371,4.467809791213345,2.1915145000419742,0.029097592224732145
nhefs,42,80,0.02,RegressionAdjustmentEstimator,3.3341674140824518,2.4179561257013953,4.039789998781917,1.6218338730805213,0.1521322101281169
nhefs,42,80,0.02,IPWEstimator,3.2634978711907743,2.291231921044224,4.064400677075504,1.7731687560312803,0.012853630864701801
nhefs,42,80,0.02,DoublyRobustEstimator,3.293647427944588,2.3591809064951508,4.222624843995426,1.8634439375002754,0.012853630864701768
nhefs,42,80,0.02,PropensityMatcher,3.2117884332647817,2.3742285805536807,4.473784431960107,2.0995558514064263,0.029879113398767032
nhefs,42,80,0.05,RegressionAdjustmentEstimator,3.3341674140824518,2.4179561257013953,4.039789998781917,1.6218338730805213,0.1521322101281169
nhefs,42,80,0.05,IPWEstimator,3.2634978711907743,2.291231921044224,4.064400677075504,1.7731687560312803,0.012853630864701801
nhefs,42,80,0.05,DoublyRobustEstimator,3.293647427944588,2.3591809064951508,4.222624843995426,1.8634439375002754,0.012853630864701768
nhefs,42,80,0.05,PropensityMatcher,3.179420589179487,2.4070861062286233,4.397705532907901,1.9906194266792778,0.03034650732298481
synthetic,42,80,0.02,RegressionAdjustmentEstimator,1.9846249321644263,1.8129097420209617,2.2080160837761538,0.3951063417551921,0.4101570945338573
synthetic,42,80,0.02,IPWEstimator,1.927137190707402,1.6280229341562469,2.2419127951190134,0.6138898609627665,0.01574644379960979
synthetic,42,80,0.02,DoublyRobustEstimator,1.9354540855590772,1.749281772940109,2.151278420352372,0.40199664741226315,0.015746443799608996
synthetic,42,80,0.02,PropensityMatcher,1.7069487424995728,1.286157034343809,2.403379309908603,1.117222275564794,0.05052043831836204
lalonde,123,20,0.03,RegressionAdjustmentEstimator,1548.2438020003797,404.733035246127,2432.2752339569565,2027.5421987108296,0.5085763727684149
lalonde,123,20,0.03,IPWEstimator,232.42121949850025,-1379.9017662814765,1832.5270752540782,3212.428841535555,0.14935561296631406
