dataset,method,mean_effect,std_effect,min_effect,max_effect,mean_ci_width,std_ci_width,mean_balance_after,n_runs,cv_effect
lalonde,DoublyRobustEstimator,798.7182434763162,0.0,798.718243476316,798.718243476316,4120.688083186876,344.0264513009451,0.15822617744353895,45,0.0
lalonde,IPWEstimator,232.42121949850028,0.0,232.42121949850025,232.42121949850025,3236.6206225013498,256.0148051779921,0.14935561296631406,45,0.0
lalonde,PropensityMatcher,1255.8667044342508,209.51319348475442,1052.1097784403669,1540.0712793577982,3411.369755482042,555.1312491928657,0.07414809767677685,45,0.1668
lalonde,RegressionAdjustmentEstimator,1548.2438020003797,0.0,1548.2438020003797,1548.2438020003797,2662.037570452028,489.07783474484006,0.5085763727684149,45,0.0
nhefs,DoublyRobustEstimator,3.2936474279445878,0.0,3.293647427944588,3.293647427944588,1.6359134442262002,0.31288625671739895,0.012853630864701768,45,0.0
nhefs,IPWEstimator,3.2634978711907743,0.0,3.2634978711907743,3.2634978711907743,1.5990611453521077,0.3018798364895121,0.0128536308647018,45,0.0
nhefs,PropensityMatcher,3.164855607712785,0.04596246888221227,3.103357800694088,3.2117884332647817,1.9601017064136579,0.3642334956657535,0.029774404315494662,45,0.0145
nhefs,RegressionAdjustmentEstimator,3.3341674140824518,0.0,3.3341674140824518,3.3341674140824518,1.5611809743739162,0.26449193596006343,0.1521322101281169,45,0.0
synthetic,DoublyRobustEstimator,1.9354540855590772,0.0,1.9354540855590772,1.9354540855590772,0.3492662067949363,0.06297698237040071,0.015746443799608996,15,0.0
synthetic,IPWEstimator,1.927137190707402,0.0,1.927137190707402,1.927137190707402,0.5616554104185999,0.05519928909490563,0.01574644379960979,15,0.0
synthetic,PropensityMatcher,1.7069487424995728,0.0,1.7069487424995728,1.7069487424995728,1.0825241531857777,0.15276468269976531,0.05052043831836204,15,0.0
synthetic,RegressionAdjustmentEstimator,1.9846249321644263,0.0,1.9846249321644263,1.9846249321644263,0.32391868054226436,0.06458533276801452,0.4101570945338573,15,0.0
