dgp,n,replication,estimator,estimate,se,ci_low,ci_high,covered,true_effect
linear,200,0,Regression,1.935543892444249,0.1488237555315707,1.9973444361547115,2.037573823058183,True,2.0
linear,200,0,Matching,1.8664607278156344,0.18579147231117701,1.9224018833245875,1.938958520030756,False,2.0
linear,200,0,IPW,1.9368099985456269,0.3169236529448402,2.021655606082396,2.0545940117486303,False,2.0
linear,200,0,DR,1.9196260213869472,0.1512769292628387,2.0232745603769104,2.023902713492079,False,2.0
linear,200,0,CrossFitDR,1.917655346494327,0.15797919835225244,2.00299966437335,2.041797470222231,False,2.0
linear,200,0,FlexibleDR,1.971792858749684,0.2017174413567642,2.1427801856448587,2.1489479794411364,False,2.0
linear,200,1,Regression,1.4920607917564774,0.14813018847818438,1.5540121383441388,1.5604531935842911,False,2.0
linear,200,1,Matching,1.4781292253138856,0.16564765890066044,1.5258660366949177,1.6460872886663072,False,2.0
linear,200,1,IPW,1.5018280096942567,0.3121714941953261,1.548258015931908,1.5632273695881185,False,2.0
linear,200,1,DR,1.4950907559808602,0.14325690945973416,1.5464704822530175,1.5614518317913781,False,2.0
linear,200,1,CrossFitDR,1.4879389983957925,0.14987414416737296,1.549274117246001,1.5657570822321956,False,2.0
linear,200,1,FlexibleDR,1.4604997255103709,0.17269243240126503,1.5893821871846356,1.659226004456687,False,2.0
linear,200,2,Regression,2.118217563483565,0.15611045954875483,1.944277451948512,2.109206902127258,True,2.0
linear,200,2,Matching,2.221806418093102,0.17560035009954492,1.9899737062677423,2.0544970223618195,True,2.0
linear,200,2,IPW,2.1065579732902626,0.38566518698804897,1.950694421986786,2.0835082420052746,True,2.0
linear,200,2,DR,2.109738723065561,0.15555859402576802,1.9471166330857554,2.0777463116107913,True,2.0
linear,200,2,CrossFitDR,2.111631105384655,0.1629732890517624,1.939719575948857,2.0767085525313673,True,2.0
linear,200,2,FlexibleDR,2.073709019180643,0.17418222312569037,2.008053836788483,2.0885916121773924,False,2.0
linear,200,3,Regression,2.1455203281171666,0.14756688888513358,1.9807129608784129,2.143330531822217,True,2.0
linear,200,3,Matching,1.9665196149824495,0.18859915153540566,1.9486539922431203,2.0839669246520938,True,2.0
linear,200,3,IPW,2.194863362636398,0.3132205493169657,2.0926997830354215,2.1273509530315007,False,2.0
linear,200,3,DR,2.1838635867176657,0.146124886890928,2.028885174286941,2.157404940401205,False,2.0
linear,200,3,CrossFitDR,2.220954505576231,0.16047768142990262,2.0518951006845567,2.1763337800613805,False,2.0
linear,200,3,FlexibleDR,2.124829485632376,0.15065500489232456,1.977713372445335,2.074157662051099,True,2.0
linear,200,4,Regression,1.9477102857819082,0.15330603630816342,1.739538464181147,2.051175087307931,True,2.0
linear,200,4,Matching,1.7618253828618868,0.18332012703292766,1.4575350016584223,1.8461725586240092,False,2.0
linear,200,4,IPW,1.905486389173499,0.42671921191585377,1.7241694182497325,2.030741301274096,True,2.0
linear,200,4,DR,1.9010656462799767,0.16256686771881368,1.7015850470922984,2.0227087176913323,True,2.0
linear,200,4,CrossFitDR,1.9104368208814662,0.17387244700595278,1.6986248130254562,2.037778281601299,True,2.0
linear,200,4,FlexibleDR,1.9321694260541258,0.20719974233484728,1.7287658902828826,2.0558137114539075,True,2.0
linear,200,5,Regression,1.7909077598360685,0.15098504933114093,1.6565668511254314,1.8704922603829817,False,2.0
linear,200,5,Matching,1.704981722470575,0.1564690966671926,1.4887950304404334,1.6286530561407282,False,2.0
linear,200,5,IPW,1.6604404313236554,0.4410930803201016,1.4461375551681936,1.481553845298439,False,2.0
linear,200,5,DR,1.83506803493556,0.14408472525580876,1.6990496475145802,1.7988276866047612,False,2.0
linear,200,5,CrossFitDR,1.827119471224013,0.15586992237415817,1.6974431171287152,1.7877885004731606,False,2.0
linear,200,5,FlexibleDR,1.6978192713775975,0.21012693275953526,1.6394265019044354,1.9429083589288791,False,2.0
linear,200,6,Regression,2.1005333210985726,0.13951955787892265,2.0940662998281008,2.254617402931015,False,2.0
linear,200,6,Matching,1.8400402464181296,0.15817748278550542,2.0312510844806777,2.208524191110484,False,2.0
linear,200,6,IPW,2.1541701577865884,0.3434889658862435,2.136825016362712,2.3114080598927655,False,2.0
linear,200,6,DR,2.105305719595608,0.14661613727847128,2.1212937322636827,2.2730445443117113,False,2.0
linear,200,6,CrossFitDR,2.097699206550311,0.15118481686214275,2.1683383566584413,2.279162479651946,False,2.0
linear,200,6,FlexibleDR,2.1480592493544943,0.15830671256749138,2.2618864277706914,2.4129099657488444,False,2.0
linear,200,7,Regression,1.924473497177075,0.15919413021137543,1.894681419505264,1.9233170303060552,False,2.0
linear,200,7,Matching,1.7997665950578536,0.18494637604135128,1.7973082248393808,1.879984901582081,False,2.0
linear,200,7,IPW,1.8523674923548006,0.4363530039010397,1.7475499666465049,1.917546979102494,False,2.0
linear,200,7,DR,1.9030675656561937,0.1648912624130267,1.879132107684654,1.880742236512051,False,2.0
linear,200,7,CrossFitDR,1.9015400339776531,0.17418006494820207,1.74501463945897,1.8697330520389084,False,2.0
linear,200,7,FlexibleDR,1.8054043799807393,0.20004008153714717,1.9373335598627464,1.982881284662342,False,2.0
