seed,method,marginal_cov,mean_width,ece,cov_power,width_power,rmse_power,cov_water,width_water,rmse_water,cov_telecom,width_telecom,rmse_telecom
0,ensemble_cp,0.8849557522123894,0.7597346901893616,0.08053097345132741,0.92,0.7280802726745605,0.20602373778820038,0.8421052631578947,0.8274652361869812,0.2642030417919159,0.88,0.7200930118560791,0.22827519476413727
1,ensemble_cp,0.8938053097345132,0.7759280204772949,0.07345132743362828,0.88,0.6837106943130493,0.21086688339710236,0.868421052631579,0.8194047212600708,0.2702160179615021,0.96,0.8942777514457703,0.17844653129577637
2,ensemble_cp,0.9026548672566371,0.6731957793235779,0.08761061946902651,0.86,0.631574809551239,0.21870799362659454,0.9736842105263158,0.7593327760696411,0.18878710269927979,0.88,0.6255095601081848,0.20824216306209564
3,ensemble_cp,0.9203539823008849,0.6763710975646973,0.05221238938053094,0.94,0.6933599710464478,0.1986059993505478,0.868421052631579,0.5511656999588013,0.18832173943519592,0.96,0.8327057361602783,0.2331710010766983
4,ensemble_cp,0.9911504424778761,0.8554133176803589,0.09115044247787608,0.98,0.8239551782608032,0.20135723054409027,1.0,0.8893856406211853,0.2079809010028839,1.0,0.8666919469833374,0.18356359004974365
5,ensemble_cp,0.911504424778761,0.7700734734535217,0.07522123893805306,0.94,0.8331457376480103,0.21275587379932404,0.868421052631579,0.6473650932312012,0.23262232542037964,0.92,0.8304457068443298,0.22445188462734222
6,ensemble_cp,0.911504424778761,0.6956011056900024,0.057522123893805274,0.94,0.7029998898506165,0.1862155944108963,0.868421052631579,0.6640493273735046,0.19492073357105255,0.92,0.7287625670433044,0.19923393428325653
7,ensemble_cp,0.8672566371681416,0.7610037922859192,0.10353982300884952,0.74,0.6990583539009094,0.262502521276474,0.9473684210526315,0.7683490514755249,0.19696369767189026,1.0,0.8737300634384155,0.19079139828681946
8,ensemble_cp,0.9469026548672567,0.6853858232498169,0.07699115044247785,0.98,0.7152300477027893,0.1669117957353592,0.9736842105263158,0.7087279558181763,0.17315928637981415,0.84,0.5902178287506104,0.208647221326828
9,ensemble_cp,0.8672566371681416,0.6946802139282227,0.09646017699115042,0.76,0.5284358859062195,0.24542243778705597,0.9736842105263158,0.8861780762672424,0.21971014142036438,0.92,0.736092209815979,0.1901225745677948
10,ensemble_cp,0.9203539823008849,0.7988065481185913,0.06991150442477873,0.9,0.7415944933891296,0.21565452218055725,0.8947368421052632,0.6947392821311951,0.20561251044273376,1.0,1.0714125633239746,0.2051410675048828
11,ensemble_cp,0.9292035398230089,0.7264116406440735,0.07522123893805308,1.0,0.7758017778396606,0.18842476606369019,0.9210526315789473,0.714799702167511,0.1812535524368286,0.8,0.6452816724777222,0.22907881438732147
12,ensemble_cp,0.9203539823008849,0.6663790941238403,0.05221238938053094,0.92,0.5818965435028076,0.1755404770374298,0.9736842105263158,0.822206437587738,0.21367089450359344,0.84,0.5984863638877869,0.20877914130687714
13,ensemble_cp,0.8938053097345132,0.7559362053871155,0.059292035398230046,0.9,0.8534747958183289,0.25896185636520386,0.9210526315789473,0.6210014224052429,0.19846153259277344,0.84,0.7659598588943481,0.29858049750328064
14,ensemble_cp,0.9557522123893806,0.7645624279975891,0.0716814159292035,0.94,0.6951772570610046,0.1914132833480835,0.9473684210526315,0.678204357624054,0.18314695358276367,1.0,1.0345969200134277,0.18850697576999664
15,ensemble_cp,0.9292035398230089,0.7075948119163513,0.07699115044247785,0.94,0.7567155361175537,0.17920948565006256,0.9736842105263158,0.7085907459259033,0.12833529710769653,0.84,0.6078396439552307,0.2434021234512329
16,ensemble_cp,0.9292035398230089,0.7993886470794678,0.05929203539823006,0.92,0.7757370471954346,0.22035495936870575,0.9736842105263158,1.0092790126800537,0.17723017930984497,0.88,0.5276579856872559,0.18137724697589874
17,ensemble_cp,0.9469026548672567,0.7090878486633301,0.07699115044247785,0.9,0.6902403235435486,0.2003658413887024,0.9736842105263158,0.6918924450874329,0.16719044744968414,1.0,0.7729198932647705,0.18097737431526184
18,ensemble_cp,0.9469026548672567,0.8200646042823792,0.06283185840707962,0.9,0.8386663198471069,0.2506233751773834,0.9736842105263158,0.5932811498641968,0.144867941737175,1.0,1.1275715827941895,0.1762639731168747
19,ensemble_cp,0.9203539823008849,0.7559615969657898,0.06814159292035395,0.9,0.7336229681968689,0.19358408451080322,0.8947368421052632,0.6696707606315613,0.2116401195526123,1.0,0.9318007826805115,0.19357800483703613
